ID,Tier 1
1,Attractions
2,Automotive
3,Books and Literature
4,Business and Finance
5,Careers
6,Communication
7,Crime
8,Disasters
9,Education
10,Entertainment
11,Events
12,Family and Relationships
13,Fine Art
14,Food & Drink
15,Genres
16,Healthy Living
17,Hobbies & Interests
18,Holidays
19,Home & Garden
20,Law
21,Maps & Navigation
22,Medical Health
23,Music
24,Personal Celebrations & Life Events
25,Personal Finance
26,Pets
27,Politics
28,Pop Culture
29,Productivity
30,Real Estate
31,Religion & Spirituality
32,Science
33,Sensitive Topics
34,Shopping
35,Sports
36,Style & Fashion
37,Technology & Computing
38,Travel
39,Video Gaming
40,War and Conflicts